business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,rating,American,Mexican,Chinese,Italian,Coffee&Tea,Sandwiches,Pizza
3519,Eclipse Cafe,5 Embarcadero Center,San Francisco,CA,94111,37.794168,-122.396457,"(37.794168, -122.396457)",,3519_20160603,06/03/2016 12:00:00 AM,100,Routine - Unscheduled,,,,3,1,0,0,0,0,0,0
3518,"Hyatt Regency - Main Kitchen, Employees Cafeteria",5 Embarcadero Center,San Francisco,CA,94111,37.794168,-122.396457,"(37.794168, -122.396457)",,3518_20160603,06/03/2016 12:00:00 AM,100,Routine - Unscheduled,,,,2.5,0,0,0,0,0,0,0
84690,Target Store T3203-Starbucks,1830 Ocean Ave,San Francisco,CA,94112,,,,14152307613,84690_20160824,08/24/2016 12:00:00 AM,96,Routine - Unscheduled,84690_20160824_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,Unknown,,,,,,,
68172,Bob's Grill & Grocery,2999 HARRISON St,San Francisco,CA,94110,37.749554,-122.411576,"(37.749554, -122.411576)",,68172_20160727,07/27/2016 12:00:00 AM,92,Routine - Unscheduled,68172_20160727_103142,Unclean nonfood contact surfaces,Low Risk,4,0,0,0,0,0,0,0
84692,Moxies,450 Post St 3rd Floor,San Francisco,CA,94102,,,,,84692_20161214,12/14/2016 12:00:00 AM,100,Routine - Unscheduled,,,,5,0,0,0,0,0,0,0
3510,City View Restaurant,662 Commercial St,San Francisco,CA,94111,37.794127,-122.404074,"(37.794127, -122.404074)",,3510_20161109,11/09/2016 12:00:00 AM,68,Routine - Unscheduled,3510_20161109_103133,Foods not protected from contamination,Moderate Risk,3.5,0,0,0,0,0,0,0
3515,Boudin Bakery,4 Embarcadero Center,San Francisco,CA,94111,37.795108,-122.396184,"(37.795108, -122.396184)",,3515_20160811,08/11/2016 12:00:00 AM,100,Routine - Unscheduled,,,,4,0,0,0,0,0,0,0
75055,Tierra Mia Coffee Company,3188 Mission St,San Francisco,CA,94110,,,,,75055_20161128,11/28/2016 12:00:00 AM,98,Routine - Unscheduled,75055_20161128_103156,Permit license or inspection report not posted,Low Risk,4.5,0,0,0,0,1,0,0
70661,Deli And,124 Montgomery St,San Francisco,CA,94104,37.790287,-122.402136,"(37.790287, -122.402136)",,70661_20161108,11/08/2016 12:00:00 AM,87,Routine - Unscheduled,70661_20161108_103139,Improper food storage,Low Risk,5,0,0,0,0,0,0,0
36840,FourBarrel Coffee,375 Valencia St,San Francisco,CA,94103,37.766994,-122.422035,"(37.766994, -122.422035)",,36840_20161102,11/02/2016 12:00:00 AM,92,Routine - Unscheduled,36840_20161102_103133,Foods not protected from contamination,Moderate Risk,4,0,0,0,0,1,0,0
